Quest ID,Quest Grade,Map Biome,Structure,Quest Boss Type,Quest Boss Minion Type,Mob Variety (INT),Structure Information,Quest Objective,Quest Level,Suitable Weapon Type,Suitable Attribute,Suitable Party Size,Loot Drop Grade
2838,C,Volcanic,dungeon,Hobgoblin Sergeant Ironboot,Orc Lackey,4,"1 Hobgoblin Sergeant Ironboot + 1 Bat Swarm Lieutenant, 4 Skeleton Basics, 8 Zombie Walker Fodder",Kill Hobgoblin Sergeant Ironboot that has been raiding the local fishing docks at night,40,Axe / Wand,Physical,5,C
2839,A,Deep Ocean,tower,Swamp Witch Morawen,Medusa Snake,4,"1 Swamp Witch Morawen, 24 Elite Gnoll Fighters, 12 Cultist Warrior Guardians, 8 Scout Hobgoblin Warriors",Clear the tower of all monsters rallied under Swamp Witch Morawen's command,80,Harpoon Lance / Trident,Poison,4,B
2840,E,Astral Void,None,Forest Sprite Corrupted,Feral Chicken,2,"1 Forest Sprite Corrupted (Elite), 6 Slime Smalls, 1 Stray Mutts, 4 Bats",Slay Forest Sprite Corrupted as your first officially registered hunter training quest,20,Soul Sword,Nature,1,F
2841,A,Swamp,None,Orc Warlord Grommash,Golem Shard,7,"1 Orc Warlord Grommash, 16 Troll Grunts, 4 Cultist Warriors",Eliminate Orc Warlord Grommash from the ruins before it grows powerful enough to expand,60,Mace,Physical,6,A
2842,F,Volcanic,None,Zombie Stumble,Insect Swarm,3,"1 Zombie Stumble (Elite), 5 Dog Strays, 5 Baby Goblins, 1 Rats",Kill Zombie Stumble as your very first beginner's quest — welcome to the Guild,20,Runic Blade,Holy / Psychic,2,F
2843,B,Astral Void,tower,Corrupted Paladin Greyshield,Imp Fighter,5,"1 Corrupted Paladin Greyshield (Empowered), 6 Giant Spider Champions, 12 Merfolk Warriors",Protect the village from Corrupted Paladin Greyshield's raiding party advancing at nightfall,40,Magic Tome / Chakram,Chaos,4,B
2844,B,Shadowfell,cave,Vampire Hunter (Turned) Bloodthirst,Merfolk Warrior,3,"1 Vampire Hunter (Turned) Bloodthirst + 1 Zombie Brute Lieutenant, 12 Hag Spawns, 9 Centaur Scout Fodder",Defeat Vampire Hunter (Turned) Bloodthirst and collect its signature trophy as proof of the kill,50,Soul Sword,Dark / Astral,4,C
2845,F,Petrified Forest,None,Feral Cat Scratchclaw,Imp Jr,1,"1 Feral Cat Scratchclaw (Empowered), 2 Rat Champions, 1 Mischievous Sprites",Kill Feral Cat Scratchclaw as your very first beginner's quest — welcome to the Guild,0,Wand,Holy,2,F
2846,C,Coral Reef,citadel,Mud Elemental Sludgeborn,Orc Lackey,4,"1 Mud Elemental Sludgeborn, 4 Zombie Walkers, 2 Imps",Kill Mud Elemental Sludgeborn that has been raiding the local fishing docks at night,60,Crossbow / Water Staff,Arcane,3,D
2847,A,Abyssal Rift,city,Djinn Storm Lord,Golem Shard,8,"1 Djinn Storm Lord (Empowered), 24 Harpy Scout Champions, 12 Medusa Snakes",Defeat Djinn Storm Lord and lift the curse on the haunted city,50,Arcane Staff,Lightning,4,B
2848,C,Astral Void,labyrinth,Mud Elemental Sludgeborn,Bandit Thug,3,"1 Mud Elemental Sludgeborn, 4 Skeleton Basics, 8 Bandit Thugs",Exterminate the monster group under Mud Elemental Sludgeborn's command near the village,30,Magic Tome / Chakram,Arcane,2,D
2849,S,Forest,celestial sanctum,Golem Titan Graniax,Ghoul Warrior,10,"1 Golem Titan Graniax, 12 Elite Elemental Spirits, 12 Vampire Thrall Guardians, 12 Scout Dark Sorcerer Apprentices",Destroy Golem Titan Graniax's nest before the hatching season floods the region with spawn,60,Shortbow,Earth,4,A
2850,C,Underdark,celestial sanctum,Hobgoblin Sergeant Ironboot,Cave Moth,5,"1 Hobgoblin Sergeant Ironboot, 12 Elite Marsh Sprites, 4 Wild Dog Guardians, 6 Scout Cave Moths",Defeat Hobgoblin Sergeant Ironboot and retrieve the lost Guild member's identification badge,60,Crossbow,Physical,5,C
2851,E,Abyssal Rift,None,Giant Rat Queen Mangefur,Goblin Child Mob,2,"1 Giant Rat Queen Mangefur + 1 Zombie Stumbler Lieutenant, 4 Feral Chickens, 3 Goblin Child Mob Fodder",Defeat Giant Rat Queen Mangefur and gather two samples of its hide for alchemy use,20,Scythe,Arcane,2,E
2852,B,Cursed Badlands,crypt,Cultist High Priest Bloodrite,Goblin Fighter,5,"1 Cultist High Priest Bloodrite, 15 Plague Rats, 3 Centaur Scouts",Retrieve stolen goods from Cultist High Priest Bloodrite's camp before they disappear across the border,60,Wand,Dark,4,C
2853,F,Jungle,celestial sanctum,Giant Rat Mangefur Jr,Lazy Undead,2,"1 Giant Rat Mangefur Jr (Elite), 4 Spore Puffs, 2 Enchanted Leafs, 3 Dog Strays",Kill Giant Rat Mangefur Jr as your very first beginner's quest — welcome to the Guild,10,Trident / Dual Daggers,Arcane,3,F
2854,F,Obsidian Fields,None,Zombie Stumble,Enchanted Leaf,2,"1 Zombie Stumble + 1 Spore Puff Lieutenant, 5 Mischievous Sprites, 3 Dog Stray Fodder",Drive away Zombie Stumble that keeps startling farm animals in the northern field,0,Warhammer,Holy,2,F
2855,F,Ethereal Mist,None,Baby Kobold Thrower,Baby Goblin,3,"1 Baby Kobold Thrower, 5 Spore Puffs, 2 Small Bats",Clear Baby Kobold Thrower from the village chicken coops before dawn,0,Rapier,Psychic,1,F
2856,A,Feywilds,None,Sand Wyrm Duneglider,Undead Soldier,6,"1 Sand Wyrm Duneglider + 1 Dark Elf Rogue Lieutenant, 20 Werewolf Thralls, 8 Medusa Snake Fodder",Track and kill Sand Wyrm Duneglider stalking pilgrims on the sacred road to the capital,70,Staff,Earth,5,B
2857,B,Petrified Forest,citadel,Cultist High Priest Bloodrite,Kobold Warrior,3,"1 Cultist High Priest Bloodrite + 1 Skeletal Archer Lieutenant, 15 Dark Elf Scouts, 9 Kobold Warrior Fodder",Drive Cultist High Priest Bloodrite and its forces out of the nearby settlement,70,Axe,Dark,5,B
2858,SSS,Jungle,shrine,The Undying Lich Emperor Morvax,Astral Horror,8,"1 The Undying Lich Emperor Morvax (Elite), 60 Shadow Revenants, 60 Astral Horrors, 48 Void Golems",Conquer The Undying Lich Emperor Morvax's fortress and destroy the Astral Engine powering it,100,Bow,Dark,7,SSS
2859,E,Plains,temple,Skeleton Captain Clatterbones,Goblin Child Mob,3,"1 Skeleton Captain Clatterbones + 1 Skeleton Fragment Lieutenant, 3 Bats, 3 Imp Spark Fodder",Slay Skeleton Captain Clatterbones as your first officially registered hunter training quest,10,Bow,Holy,1,E
2860,F,Cursed Badlands,None,Undead Chicken Swarm,Broken Skeleton,2,"1 Undead Chicken Swarm + 1 Rat Lieutenant, 1 Enchanted Leafs, 1 Slime Tiny Fodder",Deal with Undead Chicken Swarm that has been haunting the outhouse behind the guild hall,10,Soul Sword,Holy / Wind,2,F
2861,C,Astral Void,shipwreck,Ice Troll Frostbite,Orc Lackey,6,"1 Ice Troll Frostbite (Elite), 6 Cultist Initiates, 4 Orc Lackeys, 2 Zombie Walkers",Slay Ice Troll Frostbite and its minions harassing construction workers,30,Arcane Staff / Magic Tome,Ice,5,C
2862,D,Floating Isles,labyrinth,Cave Bear Clawswipe,Skeleton Rattle,3,"1 Cave Bear Clawswipe, 4 Feral Cats, 10 Rat Packs",Slay Cave Bear Clawswipe and retrieve the missing adventurer's identification tag,50,Bow,Earth / Poison,3,E
2863,C,Volcanic,celestial sanctum,Shadow Imp Captain,Marsh Sprite,4,"1 Shadow Imp Captain, 10 Elite Kobold Diggers, 6 Bandit Thug Guardians, 8 Scout Cave Moths",Clear the cave overrun by monsters rallying under Shadow Imp Captain,50,Runic Blade,Shadow / Necrotic,3,D
2864,C,Jungle,ancient pyramid,Dark Dwarf Smith Deepstrike,Cultist Initiate,5,"1 Dark Dwarf Smith Deepstrike + 1 Kobold Digger Lieutenant, 10 Zombie Walkers, 4 Bat Swarm Fodder",Defeat Dark Dwarf Smith Deepstrike and recover the stolen guild funds from its hideout,60,Trident,Dark,3,C
2865,E,Deep Ocean,None,Mudskipper Champion,Mushroom Walker,2,"1 Mudskipper Champion, 2 Stray Mutts, 2 Bats",Slay Mudskipper Champion as your first officially registered hunter training quest,30,Soul Sword,Necrotic,4,E
2866,F,Forest,haunted manor,Giant Rat Mangefur Jr,Mischievous Sprite,3,"1 Giant Rat Mangefur Jr + 1 Small Bat Lieutenant, 3 Dog Strays, 4 Insect Swarm Fodder",Deal with Giant Rat Mangefur Jr that has been haunting the outhouse behind the guild hall,0,Bow,Lightning,1,F
2867,F,Deep Ocean,colosseum,Bat Flapwing,Dog Stray,3,"1 Bat Flapwing + 1 Broken Skeleton Lieutenant, 3 Lazy Undeads, 1 Dog Stray Fodder","Kill Bat Flapwing and return proof — it's just one, you'll be fine",20,Arcane Staff,Arcane,3,F
2868,B,Shadowfell,None,Ogre Chief Skullcrush,Merfolk Warrior,7,"1 Ogre Chief Skullcrush + 1 Zombie Brute Lieutenant, 3 Kobold Warriors, 6 Hag Spawn Fodder",Defeat Ogre Chief Skullcrush and collect its signature trophy as proof of the kill,40,Wand,Arcane,4,C
2869,F,Desert,None,Goblin Warrior Clubs,Zombie Shuffle,3,"1 Goblin Warrior Clubs, 3 Mischievous Sprites, 4 Slime Tinys",Swat Goblin Warrior Clubs away from the school children's picnic area,0,Wand,Physical,2,F
2870,D,Petrified Forest,dungeon,Skeletal Champion Crackbone,Skeleton Rattle,5,"1 Skeletal Champion Crackbone, 6 Elite Goblin Runt Scouts, 6 Bog Frog Poisoned Guardians, 2 Scout Imp Familiars",Exterminate Skeletal Champion Crackbone that has been stealing food from the market,40,Mace,Necrotic,4,E
2871,F,Abyssal Rift,None,Baby Kobold Thrower,Spore Puff,3,"1 Baby Kobold Thrower, 3 Dog Strays, 3 Spore Puffs",Deal with Baby Kobold Thrower that has been haunting the outhouse behind the guild hall,0,Greatsword,Arcane / Psychic,2,F
2872,D,Shadowfell,None,Cave Bear Clawswipe,Slime Drop,2,"1 Cave Bear Clawswipe, 4 Feral Cats, 8 Goblin Runt Scouts",Kill Cave Bear Clawswipe and report details of its nesting location to the Guild,40,Dagger / Scythe,Earth,2,D
2873,F,Plains,ancient pyramid,Bandit Scout Patchwork,Small Bat,3,"1 Bandit Scout Patchwork (Elite), 6 Spore Puffs, 1 Baby Goblins, 2 Slime Tinys",Clear Bandit Scout Patchwork from the village chicken coops before dawn,20,Halberd / Greatsword,Physical,3,F
2874,E,Crystal Wastes,None,Giant Rat Queen Mangefur,Dust Bunny (Cursed),2,"1 Giant Rat Queen Mangefur, 5 Cave Crickets, 3 Feral Chickens",Kill Giant Rat Queen Mangefur and collect its claws for the leatherworker's commission,10,Wand / Rapier,Order,4,F
2875,F,Floating Isles,None,Bat Flapwing,Rat,3,"1 Bat Flapwing (Empowered), 6 Lazy Undead Champions, 4 Enchanted Leafs",Collect basic materials from Bat Flapwing as part of a resource gathering mission,20,Halberd,Arcane,1,F
2876,E,Mountains,town,Slime Mother Bubbleblob,Cave Cricket,3,"1 Slime Mother Bubbleblob, 3 Feral Chickens, 2 Zombie Stumblers",Clear Slime Mother Bubbleblob from the water well it has contaminated,20,Maul / Greatsword,Poison,2,E
2877,SS,Cursed Badlands,colosseum,Plague Hydra Venomspew,Vampire Elder,6,"1 Plague Hydra Venomspew (Elite), 16 Dire Wraiths, 32 Abyssal Crawlers, 32 Dread Specters",Slay Plague Hydra Venomspew at the heart of the dungeon threatening to collapse the region,90,Wand,Poison,5,SS
2878,C,Tundra,None,River Serpent Ripjaw,Giant Rat,6,"1 River Serpent Ripjaw (Elite), 4 Zombie Walkers, 2 Goblin Grunts, 6 Wild Dogs",Drive out River Serpent Ripjaw from the ruins used as a shelter by locals,30,Crossbow,Poison / Earth,5,D
2879,F,Tundra,None,Bat Flapwing,Baby Goblin,2,"1 Bat Flapwing (Empowered), 6 Zombie Shuffle Champions, 5 Enchanted Leafs",Exterminate Bat Flapwing and its tiny group from the inn's basement,10,Greatsword,Psychic,3,F
2880,F,Coral Reef,None,Skeleton Warrior Rattlebone,Zombie Shuffle,3,"1 Skeleton Warrior Rattlebone, 6 Dog Strays, 2 Baby Goblins",Defeat Skeleton Warrior Rattlebone in the starter training zone under instructor supervision,20,Trident,Holy / Fire,3,F
2881,A,Frozen Wastes,ruins,Cockatrice Elder,Hobgoblin Warrior,5,"1 Cockatrice Elder, 16 Elite Gnoll Fighters, 20 Dire Wolf Guardians, 8 Scout Undead Soldiers",Track and kill Cockatrice Elder stalking pilgrims on the sacred road to the capital,60,Maul / Greatsword,Ice,4,A
2882,B,Mountains,None,Treant Elder Ironbark,Cave Troll,4,"1 Treant Elder Ironbark (Empowered), 18 Plague Rat Champions, 9 Centaur Scouts",Retrieve stolen goods from Treant Elder Ironbark's camp before they disappear across the border,60,Warhammer,Arcane,5,B
2883,F,Plains,None,Wolf Grayfang,Imp Jr,2,"1 Wolf Grayfang (Empowered), 5 Enchanted Leaf Champions, 5 Zombie Shuffles",Deal with Wolf Grayfang that has been haunting the outhouse behind the guild hall,20,Bow,Shadow,3,F
2884,F,Abyssal Rift,None,Skeleton Warrior Rattlebone,Slime Tiny,3,"1 Skeleton Warrior Rattlebone, 6 Rats, 1 Mischievous Sprites",Exterminate Skeleton Warrior Rattlebone and its tiny group from the inn's basement,20,Greatsword,Holy,1,F
2885,D,Coral Reef,dungeon,Zombie Hulk Rotgut,Feral Cat,4,"1 Zombie Hulk Rotgut (Elite), 12 Cave Bats, 8 Slime Drops, 2 Rat Packs",Drive Zombie Hulk Rotgut and its pack away from local farmsteads,20,Wand,Holy / Astral,2,E
2886,C,Mountains,haunted manor,Plague Rat King Gnawfester,Cultist Initiate,5,"1 Plague Rat King Gnawfester (Empowered), 6 Marsh Sprite Champions, 6 Goblin Grunts",Defeat Plague Rat King Gnawfester and retrieve the lost Guild member's identification badge,50,Greatsword / Maul,Poison / Water,5,D
2887,C,Underground Caverns,town,Forest Witch Thornbriar,Orc Lackey,3,"1 Forest Witch Thornbriar + 1 Skeleton Basic Lieutenant, 10 Slime Blobs, 8 Wild Dog Fodder",Defeat Forest Witch Thornbriar and retrieve the lost Guild member's identification badge,60,Warhammer,Nature / Order,3,D
2888,A,Frozen Wastes,citadel,Cyclops War Chief Blindrage,Harpy Scout,5,"1 Cyclops War Chief Blindrage + 1 Naga Sentry Lieutenant, 16 Troll Grunts, 16 Swamp Lurker Fodder",Hunt Cyclops War Chief Blindrage that has been shutting down the kingdom's most profitable mines,80,Axe,Physical / Radiant,4,A
2889,F,Petrified Forest,None,Feral Cat Scratchclaw,Baby Goblin,1,"1 Feral Cat Scratchclaw + 1 Enchanted Leaf Lieutenant, 2 Small Bats, 3 Imp Jr Fodder",Deal with Feral Cat Scratchclaw that has been haunting the outhouse behind the guild hall,10,Bow,Wind,2,F
2890,C,Desert,crypt,Swamp Hag Mudcrawler,Cave Moth,3,"1 Swamp Hag Mudcrawler, 8 Elite Goblin Grunts, 6 Zombie Walker Guardians, 2 Scout Bat Swarms",Defeat Swamp Hag Mudcrawler and retrieve the lost Guild member's identification badge,30,Wand,Poison,2,D
2891,B,Underground Caverns,None,Manticore Grunt Thornspike,Hag Spawn,4,"1 Manticore Grunt Thornspike (Empowered), 9 Skeletal Archer Champions, 9 Ogre Grunts",Drive Manticore Grunt Thornspike and its forces out of the nearby settlement,60,Warhammer,Chaos,4,B
2892,A,Mountains,dungeon,Sand Wyrm Duneglider,Werewolf Thrall,5,"1 Sand Wyrm Duneglider + 1 Swamp Lurker Lieutenant, 8 Werewolf Thralls, 8 Troll Grunt Fodder",Rescue the kidnapped noble's children held in Sand Wyrm Duneglider's camp,50,Spear,Earth / Chaos,6,A
2893,SSS,Coral Reef,camp,Deep Sea Leviathan Abysscrawler,Infernal Seraph,9,"1 Deep Sea Leviathan Abysscrawler, 72 Elite Void Walker Abyssals, 36 Blood Reaper Guardians, 48 Scout Infernal Seraphs",Destroy Deep Sea Leviathan Abysscrawler before it tears open the dimensional rift consuming the world,100,Crossbow,Water / Physical,6,SSS
2894,D,Shadowfell,None,Skeletal Champion Crackbone,Skeleton Rattle,4,"1 Skeletal Champion Crackbone (Empowered), 10 Mudcrab Champions, 6 Undead Farmers",Kill Skeletal Champion Crackbone and report details of its nesting location to the Guild,20,Wand,Necrotic,3,D
2895,E,Frozen Wastes,None,Feral Lynx Pack Leader,Feral Chicken,4,"1 Feral Lynx Pack Leader, 6 Elite Skeleton Fragments, 5 Bat Guardians, 4 Scout Mischievous Pixies",Defeat Feral Lynx Pack Leader and gather two samples of its hide for alchemy use,20,Maul,Radiant / Fire,2,E
2896,E,Frozen Wastes,None,Dust Elemental Sandwhirl,Goblin Child Mob,4,"1 Dust Elemental Sandwhirl, 2 Mischievous Pixies, 3 Cave Crickets",Exterminate the small pack organized by Dust Elemental Sandwhirl near the river,40,Greatsword,Arcane / Lightning,4,E
2897,D,Volcanic,None,Zombie Hulk Rotgut,Stray Dog,5,"1 Zombie Hulk Rotgut (Empowered), 12 Goblin Runt Scout Champions, 8 Cave Bats",Kill Zombie Hulk Rotgut and report details of its nesting location to the Guild,30,Staff,Holy,2,E
2898,B,Feywilds,cave,Treant Elder Ironbark,Wraith Shadow,4,"1 Treant Elder Ironbark, 15 Elite Cave Trolls, 15 Merfolk Warrior Guardians, 3 Scout Goblin Fighters",Eliminate Treant Elder Ironbark blocking access to the region's only fresh water source,50,Wand,Arcane,3,B
2899,SSS,Forest,obsidian keep,Shadow Sovereign Umbral,Infernal Seraph,13,"1 Shadow Sovereign Umbral, 72 Elite Undead Colossuss, 36 Phoenix Reborn Guardians, 24 Scout Demon Knight Champions",Destroy Shadow Sovereign Umbral before it tears open the dimensional rift consuming the world,90,Shortbow,Shadow,6,SS
2900,SS,Jungle,temple,Storm Titan Galtheron,Infernal Colossus Shard,8,"1 Storm Titan Galtheron, 24 Arch-Ghouls, 8 Bone Dragon Wyrmlings",Slay Storm Titan Galtheron and recover the legendary hero's lost weapon before it is corrupted,70,Spear,Lightning,5,S
2901,E,Astral Void,citadel,Feral Lynx Pack Leader,Mischievous Pixie,3,"1 Feral Lynx Pack Leader, 6 Elite Imp Sparks, 5 Dust Bunny (Cursed) Guardians, 4 Scout Mushroom Walkers",Kill Feral Lynx Pack Leader and collect its claws for the leatherworker's commission,30,Chakram / Soul Sword,Psychic,2,F
2902,D,Fungal Depths,None,Stone Golem Rockfist,Rat Pack,3,"1 Stone Golem Rockfist, 12 Rat Packs, 4 Undead Farmers",Slay Stone Golem Rockfist and retrieve the missing adventurer's identification tag,40,Wand,Earth,4,E
2903,C,Frozen Wastes,rift gate,Forest Witch Thornbriar,Cultist Initiate,5,"1 Forest Witch Thornbriar, 8 Bandit Thugs, 8 Zombie Walkers",Clear the cave overrun by monsters rallying under Forest Witch Thornbriar,30,Crossbow,Nature / Necrotic,4,D
2904,E,Deep Ocean,None,Undead Farmer Pitchfork,Dust Bunny (Cursed),4,"1 Undead Farmer Pitchfork, 2 Slime Smalls, 5 Imp Sparks",Defeat Undead Farmer Pitchfork as part of your rookie Guild training exercise,30,Arcane Staff / Harpoon Lance,Holy,4,E
2905,E,Fungal Depths,crypt,Slime Mother Bubbleblob,Slime Small,3,"1 Slime Mother Bubbleblob + 1 Dust Bunny (Cursed) Lieutenant, 5 Cave Crickets, 2 Bat Fodder",Defeat Slime Mother Bubbleblob as part of your rookie Guild training exercise,40,Wand,Poison,4,F
2906,B,Shadowfell,tower,Gnoll Warlord Hyenaclaw,Wraith Shadow,3,"1 Gnoll Warlord Hyenaclaw (Elite), 12 Wraith Shadows, 12 Cave Trolls, 12 Skeletal Archers",Exterminate Gnoll Warlord Hyenaclaw and its followers before their ritual is completed,70,Rapier / Wand,Physical,5,C
2907,A,Tundra,obsidian keep,Orc Warlord Grommash,Harpy Scout,7,"1 Orc Warlord Grommash, 8 Troll Grunts, 16 Naga Sentrys",Defeat Orc Warlord Grommash and lift the curse on the haunted obsidian keep,60,Maul,Physical / Psychic,4,B
2908,D,Crystal Wastes,None,Desert Raider Leader Sandveil,Zombie Drifter,4,"1 Desert Raider Leader Sandveil, 10 Elite Bog Frog Poisoneds, 6 Cave Bat Guardians, 2 Scout Undead Farmers",Exterminate Desert Raider Leader Sandveil that has been stealing food from the market,20,Runic Blade,Earth,3,D
2909,F,Astral Void,palace,Imp Sparklet,Lazy Undead,3,"1 Imp Sparklet (Elite), 3 Small Bats, 1 Lazy Undeads, 3 Broken Skeletons",Clear Imp Sparklet from the village chicken coops before dawn,20,Chakram,Lightning / Wind,2,F
2910,C,Underdark,shrine,Mud Elemental Sludgeborn,Orc Lackey,5,"1 Mud Elemental Sludgeborn, 10 Cave Moths, 6 Goblin Grunts",Kill Mud Elemental Sludgeborn that has been raiding the local fishing docks at night,30,Dual Daggers,Arcane / Astral,5,C
2911,A,Underdark,ancient pyramid,Minotaur Champion Ironhorn,Dark Elf Rogue,5,"1 Minotaur Champion Ironhorn, 8 Elite Harpy Scouts, 4 Cultist Warrior Guardians, 16 Scout Swamp Lurkers",Slay Minotaur Champion Ironhorn and recover the noble family heirlooms stolen in last month's raid,60,Axe,Void,4,B
2912,S,Forest,None,Harpy Empress Screechara,Chimera Spawn,8,"1 Harpy Empress Screechara, 12 Elite Gargoyle Sentinels, 18 Vampire Thrall Guardians, 18 Scout Dark Soldier Elites",Retrieve the enchanted tome sealed away inside Harpy Empress Screechara's heavily guarded stronghold,60,Dagger / Crossbow,Wind,4,S
2913,C,Swamp,cave,Dark Dwarf Smith Deepstrike,Slime Blob,5,"1 Dark Dwarf Smith Deepstrike (Elite), 10 Bandit Thugs, 10 Zombie Walkers, 8 Orc Lackeys",Clear the cave overrun by monsters rallying under Dark Dwarf Smith Deepstrike,50,Spear,Dark,2,D
2914,E,Fungal Depths,None,Fishman Raider Gillclaw,Feral Chicken,2,"1 Fishman Raider Gillclaw, 4 Slime Smalls, 2 Stray Mutts",Exterminate the small pack organized by Fishman Raider Gillclaw near the river,30,Wand / Mace,Void,3,E
2915,E,Fungal Depths,None,Imp Leader Cinderwick,Bat,2,"1 Imp Leader Cinderwick (Elite), 2 Skeleton Fragments, 2 Bats, 2 Feral Chickens",Kill Imp Leader Cinderwick and return physical proof of the kill to the Guild,10,Mace,Wind,1,E
2916,F,Tundra,None,Goblin Warrior Clubs,Lazy Undead,3,"1 Goblin Warrior Clubs (Empowered), 6 Dog Stray Champions, 1 Baby Goblins",Shoo away Goblin Warrior Clubs from the flower market — do not use fire,20,Maul,Physical,2,F
2917,B,Crystal Wastes,None,Wraith Captain Hollowgaze,Ogre Grunt,6,"1 Wraith Captain Hollowgaze (Elite), 12 Centaur Scouts, 15 Wraith Shadows, 9 Skeletal Archers",Protect the village from Wraith Captain Hollowgaze's raiding party advancing at nightfall,50,Rapier,Order / Wind,4,B
2918,D,Astral Void,citadel,Marsh Troll Sludgefist,Stray Dog,4,"1 Marsh Troll Sludgefist (Empowered), 10 Feral Cat Champions, 4 Zombie Drifters",Clear Marsh Troll Sludgefist from the old mine shaft so workers can resume,40,Chakram,Physical / Lightning,4,E
2919,F,Jungle,None,Baby Kobold Thrower,Mischievous Sprite,3,"1 Baby Kobold Thrower, 3 Insect Swarms, 3 Rats",Swat Baby Kobold Thrower away from the school children's picnic area,0,Trident / Crossbow,Psychic,1,F
2920,F,Fungal Depths,tower,Baby Kobold Thrower,Enchanted Leaf,3,"1 Baby Kobold Thrower (Elite), 6 Slime Tinys, 5 Baby Goblins, 4 Mischievous Sprites","Kill Baby Kobold Thrower and return proof — it's just one, you'll be fine",0,Wand,Radiant / Physical,1,F
2921,B,Jungle,None,Kobold Shaman Scalespell,Wraith Shadow,3,"1 Kobold Shaman Scalespell (Empowered), 18 Plague Rat Champions, 6 Zombie Brutes",Kill Kobold Shaman Scalespell that has been ambushing traders on the eastern road,60,Trident / Spear,Lightning,5,C
2922,F,Floating Isles,ancient pyramid,Small Slime Cluster,Baby Goblin,2,"1 Small Slime Cluster (Elite), 4 Lazy Undeads, 3 Dog Strays, 2 Zombie Shuffles","Kill Small Slime Cluster and return proof — it's just one, you'll be fine",10,Spear,Poison,3,F
2923,C,Astral Void,None,Flame Jackal Pack Leader,Marsh Sprite,6,"1 Flame Jackal Pack Leader, 6 Elite Cultist Initiates, 8 Slime Blob Guardians, 4 Scout Bat Swarms",Defeat Flame Jackal Pack Leader and recover the stolen guild funds from its hideout,60,Arcane Staff / Soul Sword,Nature / Physical,4,D
2924,SSS,Floating Isles,celestial sanctum,Astral God-Dragon Veraxthos,Elder Draconid,10,"1 Astral God-Dragon Veraxthos, 36 Elite Astral Horrors, 24 Undead Colossus Guardians, 36 Scout Shadow Revenants",End Astral God-Dragon Veraxthos's reign of terror and return the stolen divinity to the heavens,90,Wand / Rapier,Fire / Astral,6,SS
2925,F,Jungle,None,Slime Basic,Dog Stray,3,"1 Slime Basic, 6 Elite Slime Tinys, 3 Broken Skeleton Guardians, 2 Scout Imp Jrs",Exterminate Slime Basic and its tiny group from the inn's basement,10,Crossbow,Poison,1,F
2926,C,Astral Void,haunted manor,Plague Rat King Gnawfester,Orc Lackey,4,"1 Plague Rat King Gnawfester, 4 Elite Goblin Grunts, 4 Orc Lackey Guardians, 8 Scout Cultist Initiates",Defeat Plague Rat King Gnawfester and recover the stolen guild funds from its hideout,30,Wand,Poison / Shadow,5,C
2927,D,Astral Void,None,Corrupt Guard Captain Grimsword,Cave Bat,4,"1 Corrupt Guard Captain Grimsword (Empowered), 6 Imp Familiar Champions, 4 Undead Farmers",Defeat Corrupt Guard Captain Grimsword and collect crafting materials from its remains,20,Wand / Chakram,Wind,2,D
2928,D,Mountains,None,Dire Wolf Alpha Fangrunner,Cave Spider Small,2,"1 Dire Wolf Alpha Fangrunner + 1 Cave Bat Lieutenant, 4 Rat Packs, 4 Skeleton Rattle Fodder",Kill Dire Wolf Alpha Fangrunner and report details of its nesting location to the Guild,30,Warhammer,Shadow,2,D
2929,F,Desert,None,Slime Basic,Baby Goblin,1,"1 Slime Basic (Empowered), 5 Mischievous Sprite Champions, 4 Spore Puffs",Swat Slime Basic away from the school children's picnic area,0,Dagger,Poison,3,F
2930,S,Plains,None,Giant Scorpion Empress,Ghoul Warrior,9,"1 Giant Scorpion Empress (Empowered), 18 Chimera Spawn Champions, 24 Gargoyle Sentinels",Eliminate Giant Scorpion Empress whose lair is poisoning the region's entire water supply,70,Greatsword,Poison,4,S
2931,D,Crystal Wastes,crypt,Desert Raider Leader Sandveil,Undead Farmer,5,"1 Desert Raider Leader Sandveil + 1 Goblin Runt Scout Lieutenant, 10 Bog Frog Poisoneds, 6 Skeleton Rattle Fodder",Exterminate Desert Raider Leader Sandveil that has been stealing food from the market,30,Magic Tome / Arcane Staff,Earth,2,E
2932,E,Tundra,None,Mushroom Spore Giant,Imp Spark,3,"1 Mushroom Spore Giant + 1 Feral Chicken Lieutenant, 4 Imp Sparks, 4 Bat Fodder",Slay Mushroom Spore Giant as your first officially registered hunter training quest,20,Maul,Poison / Order,3,E
2933,C,Plains,None,Swamp Hag Mudcrawler,Zombie Walker,3,"1 Swamp Hag Mudcrawler, 4 Imps, 6 Zombie Walkers",Clear the cave overrun by monsters rallying under Swamp Hag Mudcrawler,60,Spear,Poison,3,D
2934,B,Underground Caverns,palace,Centaur Champion Swiftarrow,Imp Fighter,4,"1 Centaur Champion Swiftarrow, 12 Elite Goblin Fighters, 9 Imp Fighter Guardians, 12 Scout Skeletal Archers",Eliminate Centaur Champion Swiftarrow blocking access to the region's only fresh water source,50,Crossbow / Dagger,Holy,5,B
2935,F,Abyssal Rift,None,Bandit Scout Patchwork,Spore Puff,1,"1 Bandit Scout Patchwork, 6 Lazy Undeads, 3 Rats",Collect basic materials from Bandit Scout Patchwork as part of a resource gathering mission,0,Scythe,Physical / Lightning,3,F
